event_date,event_type,sub_event_type,actor1,actor2,location,latitude,longitude,notes,fatalities
26-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Tamu,24.2166,94.3122,"On 26 March 2021, in Tamu town (Tamu Township, Tamu District, Sagaing Region), at night, locals reportedly held a protest against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the military and police) fired either rubber or live bullets. AAPP reported zero fatalities, while VOA reported some casualties were reported but the exact number was not known. [size=no report]",0
26-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Dala,16.7586,96.143,"On 26 March 2021, in Dala township (Yangon (south) district, Yangon region), in the morning, locals held a sit-in protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be military and police) intervened and arrested two women. [size=no report]",0
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mawlamyine,16.4563,97.6469,"On 25 March 2021, in Mawlamyine town (Mawlamyine township, Mawlamyine District, Mon State), military and police forces raided a ward and set barricades set up by residents for security purposes on fire. They also fired both rubber bullets and live rounds. Several people were reportedly injured, but no fatal injuries were reported.",0
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Dawei,14.0828,98.1915,"On 25 March 2021, in Dawei town, Dawei township (Dawei district, Tanintharyi Region), in the early morning, security forces (assumed to be military and police) entered Kyet Sa Pyin Ward and shot and wounded a man. Two other residents were taken away.",0
25-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Police Forces of Myanmar (2021-),Mohnyin,24.7782,96.3686,"On 25 March 2021, in Mohnyin town (Mohnyin township, Mohnyin district, Kachin state), locals protested against the Myanmar military coup and in support of the civil disobedience movement. Police intervened and arrested nine protesters. [size=no report]",0
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Tamwe,16.8102,96.1765,"On 25 March 2021, in Tamwe township (Yangon-East District, Yangon region), police forces fired rubber bullets into one of the streets. A man was shot and hit by a rubber bullet, sustaining serious injuries.",0
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mayangone,16.8662,96.1426,"On 25 March 2021, in Mayangone township (Yangon-west district, Yangon region), military and police forces arrested about 20 youth. During the crackdown, security forces fired tear gas, and one person was shot and hit by rubber bullet. Security forces also used bulldozers to break down barricades set up by residents for security purposes.",0
25-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Meiktila,20.8778,95.8584,"On 25 March 2021, in Meiktila town (Meiktila Township, Meiktila District, Mandalay Region), at night, residents held a protest against the Myanmar military coup and in support of the civil disobedience movement. Two people were arrested by military and police forces for disrupting the deployment of security forces in the area. [size=no report]",0
25-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Dagon Myothit (South),16.8402,96.2258,"On 25 March 2021, in Dagon Myothit (South) township (Yangon-east District, Yangon Region), at night, locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened and shot rubber bullets and live rounds. AAPP and Myanmar Now reported that two people were killed and nearly 10 others were injured, including one in critical condition. Some 15 boys were beaten and taken away by security forces. [size=no report]",2
25-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Hpa-an,16.8895,97.6348,"On 25 March 2021, near the Bus Terminal entry point in Hpa-an town (Hpa-an Township, Hpa-an District, Kayin State), about 100 locals from the Generation Z youths held a protest against the Myanmar military coup and in support of the civil disobedience movement. Myanmar military and police fired tear gas, sound grenades and live bullets. Two protesters were injured. Following the crackdown, young people gathered again and held protests again in six different locations. [size=about 100]",0
25-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Khin-U,22.7744,95.698,"On 25 March 2021, in Khin-U town, Khin-U township (Shwebo District, Sagaing Region), locals protested against the Myanmar military coup and in support of the civil disobedience movement. Military forces intervened and shot at protesters. Three protesters were injured. Myanmar Now reported that two protesters later died after they were forcibly dragged away by military forces while receiving medical treatment by rescue team members. They later bled to death on the truck. AAPP and Myanmar Now reported two fatalities. A nurse who was providing medical treatment to the injured protesters was taken away by military forces. [size=no report]",2
25-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Mawlamyine,16.4563,97.6469,"On 25 March 2021, in Mawlamyine town (Mawlamyine township, Mawlamyine district, Mon State), locals including students held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police intervened and fired sound grenades, rubber bullets and live bullets. Two men and 1 woman were injured and at least 20 protesters were arrested. The Myanmar military and police were stationed around Kyaik Hpa and Hlaing wards, and fired around the neighbourhood until 4:00 PM [size=no report]",0
25-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Mohnyin,24.7782,96.3686,"On 25 March 2021, in Mohnyin town (Mohnyin township, Mohnyin district, Kachin state), locals protested in front of a police station to demand the release of nine protesters who were detained earlier in the morning for protesting against the Myanmar military coup. Military and police forces intervened and fired shots. AAPP reported three were killed, while DVB reported two killed, including one who was hiding under a bridge. Six others were injured, including two others with severe injuries. [size=no report]",3
25-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Phyu,18.4843,96.4357,"On 25 March 2021, in Phyu town (Phyu Township, Taungoo District, Bago Region), locals gathered to demand the release of the son of an NLD parliamentarian, who had been arrested by security forces. Armed forces (assumed to be police and military) intervened and fired live ammunition at the crowd. AAPP and Myanmar Now reported one killed, while a woman was injured after being shot in her shoulder. [size=no report]",1
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Say Yoe Khin,18.0463,96.6085,"On 25 March 2021, in Say Yoe Khin village, Kyauktaga township (Bago District, Bago Region), in the evening, villagers fled into the fields when police and military vehicles entered their village. AAPP and DVB reported that one villager was shot dead by security forces as villagers were fleeing. One other was injured, while three others were arrested.",1
25-Mar-21,Violence against civilians,Attack,Police Forces of Myanmar (2021-),Civilians (Myanmar),Tamu,24.2166,94.3122,"On 25 March 2021, in Tamu town (Tamu township, Tamu district, Sagaing region), police attempted to raid a gold shop at night. When the owners refused to open the door, police opened fire. AAPP reported that one person was killed while RFA reported two were killed [coded RFA fatality count as more recent]. Seven others were injured.",2
25-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Taunggyi,20.7892,97.0378,"On 25 March 2021, in Taunggyi town (Taunggyi Township, Taunggyi District, Shan State), locals demonstrated against the Myanmar military coup and in support of the civil disobedience movement. They set up makeshift barricades. Military soldiers and police intervened and fired tear gas, rubber bullets and live rounds on demonstrators. Myanmar Now and AAPP reported that four people were killed - including a civilian - and several others were injured. The Irrawaddy reported 5 fatalities.vIt was reported that photos circulating on social media showed military forces beating up residents and destroying their properties. The body of the slain civilian was taken away by military forces and his family had not been able to retrieve his body. Nearly 60 people were reportedly arrested and mobile phones had been seized. [size=no report]",4
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Thingangyun,16.831,96.1932,"On 25 March 2021, at Thuwunna ward in Thingangyun township (Yangon (East) District, Yangon Region), the Myanmar military and police confronted a group of locals who gathered to drive out the Myanmar military from a charity office which they were raiding. The security forces blocked the entrances and exits of Thuwanna ward, and fired firebombs, tear gas and live bullets. 11 people were injured and four were arrested. AAPP reported that two people were killed.",2
25-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Thaketa,16.793,96.203,"On 25 March 2021, in Thaketa township (Yangon-east District, Yangon Region), at night, residents held a protest against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces cracked down on the protest and also launched a search operation to arrest people. It was reported that they also broke down barricades in the area that were put up by residents for security purposes. [size=no report]",0
25-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Monywa,22.1086,95.1358,"On 25 March 2021, in Monywa town (Monywa township, Monywa District, Sagaing region), at night, the Myanmar military and police confronted some young people (believed to be locals serving as neighbourhood night watchmen). The Myanmar military and police fired at them with gunshots. Two civilians were injured.",0
24-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Khin-U,22.7744,95.698,"On 24 March 2021, in Khin-U town (Khin-U Township, Shwebo District, Sagaing Region), locals gathered and blocked all town entrances and exits using makeshift roadblocks to demand the immediate release of 14 neighbourhood night watchmen who had been arrested by the Myanmar military and police. The military and police fired more than 50 rounds of gunshots. However, the locals did not disperse and continued to demand the release of detainees. Detainees were released at midnight and security forces withdrew from the scene. [size=no report]",0
24-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Hpa-an,16.8895,97.6348,"On 24 March 2021, in Hpa-an town (Hpa-an Township, Hpa-an District, Kayin State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police dispersed protesters and searched houses nearby. Some protesters were reportedly arrested. [size=no report]",0
24-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Bhamo,24.2525,97.2335,"On 24 March 2021, in Bhamo town, Bhamo township (Bhamo district, Kachin state), three university students were severely beaten and arrested by police. It was reported they were part of a group of seven students who were handing out leaflets which were mock funeral invitations for the Commander-in Chief. They were reportedly charged under Section 505 (a) of the Penal Code.",0
24-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Chanmyathazi,21.9394,96.0958,"On 24 March 2021, in Chanmyathazi township (Mandalay District, Mandalay Region), at night, residents held a pot-banging protest against the Myanmar military coup and in support of the civil disobedience movement. Military troops entered the area and intervened and fired shots. Myanmar Now and AAPP reported that one person was shot and killed by security forces, and at least five others were injured. Some night watch guards were reportedly shot as well. [size=no report]",1
24-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Kyaukpadaung,20.8425,95.1322,"On 24 March 2021, in Kyaukpadaung town, Kyaukpadaung township (Nyaung-U district, Mandalay Region), at night, people demonstrated against the military coup and in support of the civil disobedience movement. AAPP and RFA reported that military forces intervened and shot and killed one man, and injured three others, including one in critical condition. [size=no report]",1
23-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Nay Pyi Taw,19.745,96.1297,"Around 23 March 2021 (between 15 - 30 March), an NLD official was reportedly tortured while in custody under the military junta and died on 30 March at the military's interrogation centre. He was first arrested by security forces in Zabuthiri township (Nay Pyi Taw) on 15 March. Location coded as Nay Pyi Taw.",1
23-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Chanmyathazi,21.9394,96.0958,"On 23 March 2021, in Chanmyathazi township (Mandalay District, Mandalay Region), military and police forces conducted a raid in Aung Pin Lae ward and fired shots. AAPP and Irrawaddy reported at least three people killed, including a 7-year-old girl in her home. The brother of the 7-year-old girl was also beaten and taken away by security forces. Later at around 11pm, armed soldiers raided the home of the 7-year-old girl again, breaking down doors and ransacking the house. They were allegedly attempting to claim her body.",3
23-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Dawbon,16.7819,96.1843,"On 23 March 2021, in Dawbon town (Dawbon Township, Yangon-east District, Yangon Region), at night, the Myanmar military and police entered into a ward and fired sound grenades - reportedly also fired gunshots. DVB reported one civilian died. Seven civilians were also injured. Nearly 50 people were arrested. A ward administration office, barbershop and phone shops were also set on fire. It was not reported who was responsible for setting the fire.",1
23-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Dawei,14.0828,98.1915,"On 23 March 2021, in Dawei town, Dawei township (Dawei district, Tanintharyi Region), a man was killed after he was hit by a speeding military vehicle while crossing the road.",1
22-Mar-21,Violence against civilians,Attack,Police Forces of Myanmar (2021-),Civilians (Myanmar),Sa Mar,21.5593,96.0605,"On 22 March 2021, at Sa Mar village (Kyaukse Township, Kyaukse District, Mandalay Region), Myanmar police raided the Sa Mar village track hospital. Villagers from Sa Mar, Bon Kwin and Sin Kun attempted to prevent the police from arresting a doctor. Police beat up and arrested 9 villagers.",0
22-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Thaketa,16.793,96.203,"On 22 March 2021, in Thaketa township (Yangon-east District, Yangon Region), health workers - reportedly civil servants - held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police dispersed protesters with rubber bullets. One civilian was injured. [size=no report]",0
22-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Ye,15.2465,97.8551,"On 22 March 2021, in Ye town (Ye township, Mawlamyine District, Mon State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be the Myanmar military and police) intervened to disperse protesters. Seventeen protesters, including 10 girls were arrested. [size=no report]",0
22-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Mandalay,21.9747,96.0836,"On 22 March 2021, in Mandalay City (Mandalay region), locals including about 1,500 education workers held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Some demonstrators set up road barricades and burned piles of debris. Demonstrators reportedly used a giant slingshot to hurl chunks of concrete at security forces. Military and police forces opened fire. AAPP reported that eight people were killed and AP reported numerous injuries. [size=about 1,500]",8
22-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Chanmyathazi,21.9394,96.0958,"On 22 March 2021, in Chanmyathazi town, Chanmyathazi township (Mandalay District, Mandalay Region), military and police forces conducted a series of raids in Aung Pin Lae, Aung Tharyar. At Mya Yi Nandar ward, around 300 security forces were deployed with two bulldozers to remove roadblocks erected by residents at a complex housing thousands of government workers and pensioners. They set roadblocks and several vehicles belonging to residents on fire. They also used live rounds, rubber bullets and stun grenades during the crackdown, after residents appeared to oppose the raid. AAPP reported at least five were killed while Myanmar Now reported that eight people were killed, including a 13-year-old boy and two rescue workers who were rescuing those who were injured during the shootings. More than 40 people were wounded.",5
22-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Meiktila,20.8778,95.8584,"On 22 March 2021, in Meiktila town (Meiktila Township, Meiktila District, Mandalay Region), more than 5,000 motorcyclists and more than 1,000 people protested in four locations across the town against the Myanmar military coup and in support of the civil disobedience movement. About 15 police officers intervened to crack down on the motorcade rally, and three people fell off their motorcycles while two others were arrested. Military and police forces also fired about 20 rubber bullets and live rounds into a crowd of protesters. Some injuries were reported but the exact number was not confirmed. Some arrests were made but the exact number was not confirmed. Some motorcycles were also confiscated. [size=more than 6,000]",0
22-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Dawbon,16.7819,96.1843,"On 22 March 2021, in Dawbon town (Dawbon Township, Yangon-east District, Yangon Region), at night, locals held a protest against the Myanmar military coup and in support of the civil obedience movement. Security forces (assumed to be the Myanmar military and police) intervened with gunshots to disperse protesters. Afterwards, the ward administration office was set on fire. It is not reported who was responsible for setting the fire. [size=no report]",0
22-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kyangin,18.3404,95.2391,"On 22 March 2021, in Kyangin town, Kyangin township (Hinthada district, Ayeyarwady Region), military and police forces beat up a man who was on neighbourhood night watch duty. Military and police forces fired about 50 shots (either rubber bullets or live rounds) when residents took to the streets to help the man. Two people were severely wounded and seven youth were arrested.",0
22-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Lashio,22.9359,97.7498,"On 22 March 2021, in Lashio town (Lashio Township, Lashio District, Shan State), locals rode a motorcycle in protest against the Myanmar military coup and in support of the civil obedience movement. Gunmen in civilian uniform (assumed to be the Myanmar military and police) used a car and gave chase to protesters who were riding a motorcycle and hit the motorcycle. They then pointed a gun at protesters although no shots were fired. [size=no report]",0
22-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Nammatee,25.3783,97.0089,"On 22 March 2021, in Nammatee town (Mogaung Township, Mohnyin District, Kachin State), 500 locals including teachers held a protest against the Myanmar military coup and in support of the civil disobedience movement. About 70 military and police officers intervened and fired either rubber bullets or live rounds and beat up protesters with truncheons. Two people were reportedly injured. Security forces arrested 17 people. [size=500]",0
22-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Homalin,24.8666,94.9091,"On 22 March 2021, in Homalin town (Homalin Township, Hkamti District, Sagaing Region), locals held night protests at more than one ward in protest against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the Myanmar military and police) fire gunshots to disperse protesters. It was unclear if rubber or real bullets were used. Casualties not known yet. [size=no report]",0
21-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Police Forces of Myanmar (2021-),Pyapon,16.2854,95.6788,"On 21 March 2021, in Pyapon town, Pyapon Township (Pyapon district, Ayeyarwady Region), in the evening, locals held a motorcade rally to protest against the Myanmar military coup and in support of the civil disobedience movement. Security forces (assumed to be police) intervened and arrested two protesters. [size=no report]",0
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Chanmyathazi,21.9394,96.0958,"On 21 March 2021, at Mya Ye Nanda Housing in Chanmyathazi township (Mandalay District, Mandalay Region), at night, the Myanmar military and police fired around the neighbourhood and three citizens who were providing security for the ward were killed.",3
21-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Bago,17.3352,96.4813,"On 21 March 2021, in Bago town (Bago town, Bago district, Bago region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Demonstrators used makeshift roadblocks to protect themselves. The Myanmar military and police intervened to disperse demonstrators. The security forces burned and destroyed makeshift roadblocks created by demonstrators. [size=no report]",0
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Chanayethazan,21.9753,96.0946,"On 21 March 2021, in Chanayethazan town (Mandalay district, Mandalay Region), military and police forces raided the area at night and shot and killed two people, including a 15-year-old boy. Both of them were killed as they looked out on the street due to the sound of gunfire. One of the bodies was reportedly taken away by security forces.",2
21-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Chanmyathazi,21.9394,96.0958,"On 21 March 2021, in Aung Pin Lae ward, Chanmyathazi town, Chanmyathazi township (Mandalay District, Mandalay Region), in the afternoon, locals including engineers protested against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened and fired live rounds. AAPP reported three men were killed while Irrawaddy reported one killed [coded the more recent AAPP fatality count]. At least six people were severely injured. [size=no report]",3
21-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Kyaw,21.9274,94.3579,"On 21 March 2021, in Kyaw town, Gangaw township (Gangaw District, Magway Region), locals protested against the military occupation of a school in the area. Military and police forces intervened and shot and killed a 66-year-old woman. AAPP and DVB reported one killed. Another man was beaten and arrested. [size=no report]",1
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mingalar Taung Nyunt,16.7889,96.1679,"On 21 March 2021, in Mingalar Taung Nyunt township (Yangon (East) district, Yangon region), the Myanmar military raided an apartment, and a woman fell from her sixth-floor apartment and died. The Myanmar military reportedly raided the apartment in search of the We Love Yangon team who supported the civil disobedience movement.",1
21-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Monywa,22.1086,95.1358,"On 21 March 2021, in Monywa town (Monywa Township, Monywa District, Sagaing Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Military and police forces intervened and fired live ammunition into the crowd as demonstrators were setting up street barricades. AAPP, Myanmar Now and DVB reported that a young man was shot in the head and killed. Nine others were injured, including four in critical condition. Residents continued demonstrating later in the day despite the fatality. State media claimed that men on motorcycles attacked a member of the security forces who later died. Two fatalities coded in total. [size=thousands]",2
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Pyigyitagon,21.902,96.1042,"On 21 March 2021, in Pyigyitagon township (Mandalay district, Mandalay Region), military and police forces raided the area at night and shot and killed three people.",3
21-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Taunggyi,20.7892,97.0378,"On 21 March 2021, in Taunggyi town (Taunggyi Township, Taunggyi District, Shan State), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. Military forces intervened and fired either rubber bullets or live rounds. Security forces also set roadblocks erected by demonstrators on fire. It was reported that videos circulating on social media showed military and police forces beating up two civilians. [size=no report]",0
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Sanchaung,16.8038,96.1373,"On 21 March 2021, in Sanchaung township (Yangon-West district, Yangon Region), a lawyer was beaten and arrested by military and police forces at his home. It was reported that the lawyer had been working pro-bono to secure the release of students who had been detained for protesting against the military coup.",0
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Daung Shaung,14.193,98.1505,"On 21 March 2021, in Daung Shaung village, Launglon town (Launglon township, Dawei District, Tanintharyi Region), police and military forces set fire to a family home at midnight, killing a child and injuring six others. It was reported that a family member was out on neighbourhood night watch patrol when the house was set on fire. It was not clear why the family was targeted.",1
21-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Hsam Ma Hse,22.2487,96.6426,"On 21 March 2021, in Hsam Ma Hse village (Nawnghkio Township, Kyaukme District, Shan State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military hit two protesters on their motorcycle with a military truck. The Myanmar military also detained the two of them. [size=no report]",0
21-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Taunggyi,20.7892,97.0378,"On 21 March 2021, in Taunggyi town (Taunggyi Township, Taunggyi District, Shan State), 60 military and police personnel raided two wards and inspected houses. They arrested two people, including a 15-year-old boy after entering one of the houses. Security forces continued inspecting houses, and fired rubber bullets in the area. More than 20 people were hit by rubber bullets. In the evening, more than 20 military vehicles arrived and set fire to barricades set up by residents. It was reported that the two wards were targeted as police found CCTV recordings of protesters with placards that they were residing in these wards. The raid continued until the morning of the next day.",0
20-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Mudon,16.2562,97.7246,"On 20 March 2021, in Mudon township (Mawlamyine District, Mon State), the Myanmar military and police shot a civilian dead.",1
20-Mar-21,Violence against civilians,Attack,Police Forces of Myanmar (2021-),Civilians (Myanmar),South Okkalapa,16.8462,96.1799,"On 20 March 2021, at ward-7 in South Okkalapa township (Yangon-East district, Yangon Region), six police officers forced locals to clear barricades set up by protesters. One civilian refused. He was shot and arrested.",0
20-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),South Okkalapa,16.8462,96.1799,"On 20 March 2021, in South Okkalapa township (Yangon-East district, Yangon Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police shot at protesters. One protester died. [size=no report]",1
20-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Nay Pyi Taw,19.745,96.1297,"On 20 March 2021, in Nay Pyi Taw, locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The security forces (assumed to be the Myanmar military and police) intervened with tear gas and sound grenades. [size=no report]",0
20-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Bago,17.3352,96.4813,"On 20 March 2021, in Bago town (Bago town, Bago district, Bago region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police fired indiscriminately around the protest location. Six civilians were injured and 11 were also arrested. DVB and AAPP reported that two people were shot and killed. [size=no report]",2
20-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Tamwe,16.8102,96.1765,"On 20 March 2021, at Kyauk Myaung Myothit in Tamwe township (Yangon region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police fired at protesters. It was not reported if rubber or live bullets were used. AAPP and DVB reported that one protester was killed after being shot in his head. [size=no report]",1
20-Mar-21,Riots,Violent demonstration,Rioters (Myanmar),Military Forces of Myanmar (2021-),Thaketa,16.793,96.203,"On 20 March 2021, in Thaketa township (Yangon-east District, Yangon Region), locals held a demonstration against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police fired at demonstrators. Demonstrators retaliated by throwing Molotov cocktails. AAPP and AFP reported one demonstrator was killed. Some demonstrators were also injured and arrested [size=no report]",1
20-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Myawaddy,16.6891,98.5089,"On 20 March 2021, in Za Yat Hpyu Kone village (Myawaddy Township, Myawaddy District, Kayin State), sellers and customers at Mogoke Market gathered and held up the three finger-salute in protest against the Myanmar military coup and in support of the civil obedience movement. After the protesters dispersed, police and administrators search houses nearby and arrested about 40 alleged protesters. [size=no report]",0
20-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Nammatee,25.3783,97.0089,"On 20 March 2021, in Nammatee town (Magaung Township, Mohnyin District, Kachin State), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police dispersed protesters for the first time in the town. However, the security forces didn't fire gunshots. [size=no report]",0
20-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Police Forces of Myanmar (2021-),Kyauktada,16.7743,96.1616,"Around 20 March 2021 (as reported), in Kyauktada Township (Yangon (West) District, Yangon Region), locals held a night protest against the Myanmar military coup and in support of the civil disobedience movement. Police intervened and arrested about 7 protesters. [size=no report]",0
20-Mar-21,Protests,Excessive force against protesters,Protesters (Myanmar),Military Forces of Myanmar (2021-),Aungmyaythazan,21.9932,96.0969,"On 20 March 2021, in Aungmyaythazan township (Mandalay District, Mandalay Region), locals held a protest march and motorcycle protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police hit motorcycles with cars seized from protesters during the previous crackdown. The security forces also shot protesters with live bullets. Bullets injured two protesters. The security forces also hit a medical doctor with a car. Between 7 to 15 protesters were injured. [size=no report]",0
20-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kyaukpadaung,20.8425,95.1322,"On 20 March 2021, in Kyaukpadaung town (Kyaukpadaung Township, Nyaung-U District, Mandalay Region), the Myanmar military shot the son of a military intelligence officer at night. The military reportedly asked him to stop his motorcycle but he continued driving. Afterwards, the military shot him dead.",1
20-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Kyaukpadaung,20.8425,95.1322,"On 20 March 2021, in Kyaukpadaung town (Kyaukpadaung Township, Nyaung-U District, Mandalay Region), at night, a citizen who was guarding a ward was shot and injured by security forces (assumed to be the Myanmar military or police) with rubber bullets.",0
20-Mar-21,Violence against civilians,Attack,Military Forces of Myanmar (2021-),Civilians (Myanmar),Hlaingthayar,16.854,96.0689,"On 20 March 2021, in Hlaingthayar township (Yangon (North) District, Yangon Region), a detained civilian - a young man - died in the Myanmar military custody. The military informed the relative to take his dead body.",1
20-Mar-21,Protests,Protest with intervention,Protesters (Myanmar),Military Forces of Myanmar (2021-),Yesagyo,21.6335,95.2417,"On 20 March 2021, in Yesagyo town (Yesagyo Township, Pakokku District, Magway Region), locals held a protest against the Myanmar military coup and in support of the civil disobedience movement. The Myanmar military and police fired at protesters. It was not reported if rubber or live bullets were used. One protester was injured. Six protesters were arrested, but were released later on the same day. [size=no report]",0
